customer_id,scenario,expected,retrieved,hit_at_1,hit_at_3,precision_at_3,recall_at_3,mrr,latency_ms
20,Everything Eligible Except Credit,PREMIUM_WEALTH;SENIOR_BANKING;LOYALTY_REWARDS;REACTIVATION_PROGRAM;RELATIONSHIP_PRICING,REACTIVATION_PROGRAM;DIGITAL_BANKING;PREMIUM_WEALTH;LOYALTY_REWARDS;SENIOR_BANKING,1,1,0.667,0.4,1.0,0.02
21,Borderline Balance Below Threshold,CUSTOMER_CARE,CUSTOMER_CARE;PREMIUM_WEALTH;LOYALTY_REWARDS;REACTIVATION_PROGRAM;SENIOR_BANKING,1,1,0.333,1.0,1.0,0.01
22,Borderline Balance At Threshold,PREMIUM_WEALTH,PREMIUM_WEALTH;BALANCE_RETENTION;CUSTOMER_CARE;LOYALTY_REWARDS;REACTIVATION_PROGRAM,1,1,0.333,1.0,1.0,0.01
23,Borderline Tenure Below Threshold,CUSTOMER_CARE,CUSTOMER_CARE;PREMIUM_WEALTH;LOYALTY_REWARDS;REACTIVATION_PROGRAM;SENIOR_BANKING,1,1,0.333,1.0,1.0,0.01
24,Borderline Tenure At Threshold,LOYALTY_REWARDS,LOYALTY_REWARDS;CUSTOMER_CARE;PREMIUM_WEALTH;REACTIVATION_PROGRAM;SENIOR_BANKING,1,1,0.333,1.0,1.0,0.01
25,Borderline Age Below Threshold,CUSTOMER_CARE,CUSTOMER_CARE;PREMIUM_WEALTH;LOYALTY_REWARDS;REACTIVATION_PROGRAM;SENIOR_BANKING,1,1,0.333,1.0,1.0,0.01
26,Borderline Age At Threshold,SENIOR_BANKING,SENIOR_BANKING;CUSTOMER_CARE;PREMIUM_WEALTH;LOYALTY_REWARDS;REACTIVATION_PROGRAM,1,1,0.333,1.0,1.0,0.01
27,Premium Plus Low Credit,PREMIUM_WEALTH;LOYALTY_REWARDS;CREDIT_BUILDING,PREMIUM_WEALTH;LOYALTY_REWARDS;BALANCE_RETENTION;CREDIT_BUILDING;CUSTOMER_CARE,1,1,0.667,0.667,1.0,0.01
28,Premium Plus Reactivation,PREMIUM_WEALTH;REACTIVATION_PROGRAM,REACTIVATION_PROGRAM;DIGITAL_BANKING;PREMIUM_WEALTH;BALANCE_RETENTION;CUSTOMER_CARE,1,1,0.667,1.0,1.0,0.01
29,Premium Plus Relationship Pricing,PREMIUM_WEALTH;RELATIONSHIP_PRICING,PREMIUM_WEALTH;RELATIONSHIP_PRICING;BALANCE_RETENTION;CUSTOMER_CARE;LOYALTY_REWARDS,1,1,0.667,1.0,1.0,0.01
30,Premium Senior Relationship,PREMIUM_WEALTH;SENIOR_BANKING;LOYALTY_REWARDS;RELATIONSHIP_PRICING,PREMIUM_WEALTH;LOYALTY_REWARDS;SENIOR_BANKING;RELATIONSHIP_PRICING;BALANCE_RETENTION,1,1,1.0,0.75,1.0,0.01
31,Loyal Single Product,LOYALTY_REWARDS;LOW_PRODUCT_EXPANSION,LOYALTY_REWARDS;LOW_PRODUCT_EXPANSION;CUSTOMER_CARE;PREMIUM_WEALTH;REACTIVATION_PROGRAM,1,1,0.667,1.0,1.0,0.01
32,Loyal Inactive Customer,LOYALTY_REWARDS;REACTIVATION_PROGRAM,REACTIVATION_PROGRAM;DIGITAL_BANKING;LOYALTY_REWARDS;CUSTOMER_CARE;PREMIUM_WEALTH,1,1,0.667,1.0,1.0,0.01
33,Senior Low Credit,SENIOR_BANKING;CREDIT_BUILDING,SENIOR_BANKING;CREDIT_BUILDING;CUSTOMER_CARE;PREMIUM_WEALTH;LOYALTY_REWARDS,1,1,0.667,1.0,1.0,0.01
34,Senior Single Product Inactive,SENIOR_BANKING;REACTIVATION_PROGRAM;LOW_PRODUCT_EXPANSION,REACTIVATION_PROGRAM;DIGITAL_BANKING;SENIOR_BANKING;LOW_PRODUCT_EXPANSION;CUSTOMER_CARE,1,1,0.667,0.667,1.0,0.01
35,Relationship Pricing Only,RELATIONSHIP_PRICING,RELATIONSHIP_PRICING;CUSTOMER_CARE;PREMIUM_WEALTH;LOYALTY_REWARDS;REACTIVATION_PROGRAM,1,1,0.333,1.0,1.0,0.01
36,Relationship Plus Reactivation,RELATIONSHIP_PRICING;REACTIVATION_PROGRAM,REACTIVATION_PROGRAM;DIGITAL_BANKING;RELATIONSHIP_PRICING;CUSTOMER_CARE;PREMIUM_WEALTH,1,1,0.667,1.0,1.0,0.01
37,Credit Building Only,CREDIT_BUILDING,CREDIT_BUILDING;CUSTOMER_CARE;PREMIUM_WEALTH;LOYALTY_REWARDS;REACTIVATION_PROGRAM,1,1,0.333,1.0,1.0,0.01
38,Credit Building Loyal,CREDIT_BUILDING;LOYALTY_REWARDS,LOYALTY_REWARDS;CREDIT_BUILDING;CUSTOMER_CARE;PREMIUM_WEALTH;REACTIVATION_PROGRAM,1,1,0.667,1.0,1.0,0.01
39,Multiple Moderate Conditions,PREMIUM_WEALTH;SENIOR_BANKING;LOYALTY_REWARDS;RELATIONSHIP_PRICING,PREMIUM_WEALTH;LOYALTY_REWARDS;SENIOR_BANKING;RELATIONSHIP_PRICING;BALANCE_RETENTION,1,1,1.0,0.75,1.0,0.01
40,High Eligibility Customer,PREMIUM_WEALTH;SENIOR_BANKING;LOYALTY_REWARDS;REACTIVATION_PROGRAM;RELATIONSHIP_PRICING,REACTIVATION_PROGRAM;DIGITAL_BANKING;PREMIUM_WEALTH;LOYALTY_REWARDS;SENIOR_BANKING,1,1,0.667,0.4,1.0,0.01
41,No Policy Eligible Young Customer,CUSTOMER_CARE,CUSTOMER_CARE;PREMIUM_WEALTH;LOYALTY_REWARDS;REACTIVATION_PROGRAM;SENIOR_BANKING,1,1,0.333,1.0,1.0,0.01
42,Young Inactive Customer,REACTIVATION_PROGRAM,REACTIVATION_PROGRAM;DIGITAL_BANKING;CUSTOMER_CARE;PREMIUM_WEALTH;LOYALTY_REWARDS,1,1,0.333,1.0,1.0,0.01
43,Young Low Credit Single Product,CREDIT_BUILDING;LOW_PRODUCT_EXPANSION;REACTIVATION_PROGRAM,REACTIVATION_PROGRAM;DIGITAL_BANKING;LOW_PRODUCT_EXPANSION;CREDIT_BUILDING;CUSTOMER_CARE,1,1,0.667,0.667,1.0,0.01
44,Premium Borderline Senior,PREMIUM_WEALTH;SENIOR_BANKING,PREMIUM_WEALTH;SENIOR_BANKING;BALANCE_RETENTION;CUSTOMER_CARE;LOYALTY_REWARDS,1,1,0.667,1.0,1.0,0.01
45,Loyal Premium Inactive,PREMIUM_WEALTH;LOYALTY_REWARDS;REACTIVATION_PROGRAM,REACTIVATION_PROGRAM;DIGITAL_BANKING;PREMIUM_WEALTH;LOYALTY_REWARDS;BALANCE_RETENTION,1,1,0.667,0.667,1.0,0.01
46,Senior Premium Multi Product,PREMIUM_WEALTH;SENIOR_BANKING;LOYALTY_REWARDS;RELATIONSHIP_PRICING,PREMIUM_WEALTH;LOYALTY_REWARDS;SENIOR_BANKING;RELATIONSHIP_PRICING;BALANCE_RETENTION,1,1,1.0,0.75,1.0,0.01
47,Senior Low Credit Inactive,SENIOR_BANKING;CREDIT_BUILDING;REACTIVATION_PROGRAM,REACTIVATION_PROGRAM;DIGITAL_BANKING;SENIOR_BANKING;CREDIT_BUILDING;CUSTOMER_CARE,1,1,0.667,0.667,1.0,0.01
48,Inactive Multi Product,REACTIVATION_PROGRAM;RELATIONSHIP_PRICING,REACTIVATION_PROGRAM;DIGITAL_BANKING;RELATIONSHIP_PRICING;CUSTOMER_CARE;PREMIUM_WEALTH,1,1,0.667,1.0,1.0,0.01
49,Single Product Loyal Senior,SENIOR_BANKING;LOYALTY_REWARDS;LOW_PRODUCT_EXPANSION,LOYALTY_REWARDS;SENIOR_BANKING;LOW_PRODUCT_EXPANSION;CUSTOMER_CARE;PREMIUM_WEALTH,1,1,1.0,1.0,1.0,0.01
50,Everything Except Premium,SENIOR_BANKING;LOYALTY_REWARDS;REACTIVATION_PROGRAM;RELATIONSHIP_PRICING,REACTIVATION_PROGRAM;DIGITAL_BANKING;LOYALTY_REWARDS;SENIOR_BANKING;RELATIONSHIP_PRICING,1,1,0.667,0.5,1.0,0.01
51,Borderline Credit Score,CUSTOMER_CARE,CUSTOMER_CARE;PREMIUM_WEALTH;LOYALTY_REWARDS;REACTIVATION_PROGRAM;SENIOR_BANKING,1,1,0.333,1.0,1.0,0.01
52,Credit Score Just Below Threshold,CREDIT_BUILDING,CREDIT_BUILDING;CUSTOMER_CARE;PREMIUM_WEALTH;LOYALTY_REWARDS;REACTIVATION_PROGRAM,1,1,0.333,1.0,1.0,0.01
53,Premium Low Product,PREMIUM_WEALTH;LOW_PRODUCT_EXPANSION,PREMIUM_WEALTH;LOW_PRODUCT_EXPANSION;BALANCE_RETENTION;CUSTOMER_CARE;LOYALTY_REWARDS,1,1,0.667,1.0,1.0,0.01
54,Premium Low Product Inactive,PREMIUM_WEALTH;LOW_PRODUCT_EXPANSION;REACTIVATION_PROGRAM,REACTIVATION_PROGRAM;DIGITAL_BANKING;PREMIUM_WEALTH;LOW_PRODUCT_EXPANSION;BALANCE_RETENTION,1,1,0.667,0.667,1.0,0.01
55,Senior Premium Low Credit,PREMIUM_WEALTH;SENIOR_BANKING;LOYALTY_REWARDS;CREDIT_BUILDING,PREMIUM_WEALTH;LOYALTY_REWARDS;SENIOR_BANKING;BALANCE_RETENTION;CREDIT_BUILDING,1,1,1.0,0.75,1.0,0.01
56,Relationship Pricing Low Credit,RELATIONSHIP_PRICING;CREDIT_BUILDING,RELATIONSHIP_PRICING;CREDIT_BUILDING;CUSTOMER_CARE;PREMIUM_WEALTH;LOYALTY_REWARDS,1,1,0.667,1.0,1.0,0.01
57,High Salary Ordinary Customer,CUSTOMER_CARE,CUSTOMER_CARE;PREMIUM_WEALTH;LOYALTY_REWARDS;REACTIVATION_PROGRAM;SENIOR_BANKING,1,1,0.333,1.0,1.0,0.01
58,High Salary Premium Customer,PREMIUM_WEALTH;LOYALTY_REWARDS;RELATIONSHIP_PRICING,PREMIUM_WEALTH;LOYALTY_REWARDS;RELATIONSHIP_PRICING;BALANCE_RETENTION;CUSTOMER_CARE,1,1,1.0,1.0,1.0,0.01
59,Retired Premium Senior,PREMIUM_WEALTH;SENIOR_BANKING;LOYALTY_REWARDS;RELATIONSHIP_PRICING,PREMIUM_WEALTH;LOYALTY_REWARDS;SENIOR_BANKING;RELATIONSHIP_PRICING;BALANCE_RETENTION,1,1,1.0,0.75,1.0,0.01
60,Dormant Wealth Customer,PREMIUM_WEALTH;SENIOR_BANKING;LOYALTY_REWARDS;REACTIVATION_PROGRAM,REACTIVATION_PROGRAM;DIGITAL_BANKING;PREMIUM_WEALTH;LOYALTY_REWARDS;SENIOR_BANKING,1,1,0.667,0.5,1.0,0.01
61,Adversarial All Policies,PREMIUM_WEALTH;SENIOR_BANKING;LOYALTY_REWARDS;REACTIVATION_PROGRAM;RELATIONSHIP_PRICING;CREDIT_BUILDING,REACTIVATION_PROGRAM;DIGITAL_BANKING;PREMIUM_WEALTH;LOYALTY_REWARDS;SENIOR_BANKING,1,1,0.667,0.333,1.0,0.01
62,Adversarial No Matching Rule,CUSTOMER_CARE,CUSTOMER_CARE;PREMIUM_WEALTH;LOYALTY_REWARDS;REACTIVATION_PROGRAM;SENIOR_BANKING,1,1,0.333,1.0,1.0,0.01
63,Adversarial Premium Vs Credit,PREMIUM_WEALTH;LOYALTY_REWARDS;CREDIT_BUILDING,PREMIUM_WEALTH;LOYALTY_REWARDS;BALANCE_RETENTION;CREDIT_BUILDING;CUSTOMER_CARE,1,1,0.667,0.667,1.0,0.01
64,Adversarial Senior Vs Low Product,SENIOR_BANKING;LOW_PRODUCT_EXPANSION,SENIOR_BANKING;LOW_PRODUCT_EXPANSION;CUSTOMER_CARE;PREMIUM_WEALTH;LOYALTY_REWARDS,1,1,0.667,1.0,1.0,0.01
65,Adversarial Reactivation Vs Relationship,REACTIVATION_PROGRAM;RELATIONSHIP_PRICING,REACTIVATION_PROGRAM;DIGITAL_BANKING;RELATIONSHIP_PRICING;CUSTOMER_CARE;PREMIUM_WEALTH,1,1,0.667,1.0,1.0,0.01
66,Adversarial Premium Senior Inactive Credit,PREMIUM_WEALTH;SENIOR_BANKING;LOYALTY_REWARDS;REACTIVATION_PROGRAM;CREDIT_BUILDING,REACTIVATION_PROGRAM;DIGITAL_BANKING;PREMIUM_WEALTH;LOYALTY_REWARDS;SENIOR_BANKING,1,1,0.667,0.4,1.0,0.01
67,Adversarial Low Product Credit Inactive,CREDIT_BUILDING;LOW_PRODUCT_EXPANSION;REACTIVATION_PROGRAM,REACTIVATION_PROGRAM;DIGITAL_BANKING;LOW_PRODUCT_EXPANSION;CREDIT_BUILDING;CUSTOMER_CARE,1,1,0.667,0.667,1.0,0.01
68,Adversarial Premium Relationship Credit,PREMIUM_WEALTH;RELATIONSHIP_PRICING;CREDIT_BUILDING,PREMIUM_WEALTH;RELATIONSHIP_PRICING;BALANCE_RETENTION;CREDIT_BUILDING;CUSTOMER_CARE,1,1,0.667,0.667,1.0,0.01
69,Adversarial Senior Relationship Loyal,SENIOR_BANKING;LOYALTY_REWARDS;RELATIONSHIP_PRICING,LOYALTY_REWARDS;SENIOR_BANKING;RELATIONSHIP_PRICING;CUSTOMER_CARE;PREMIUM_WEALTH,1,1,1.0,1.0,1.0,0.01
70,Ultimate Stress Test,PREMIUM_WEALTH;SENIOR_BANKING;LOYALTY_REWARDS;REACTIVATION_PROGRAM;RELATIONSHIP_PRICING;CREDIT_BUILDING,REACTIVATION_PROGRAM;DIGITAL_BANKING;PREMIUM_WEALTH;LOYALTY_REWARDS;SENIOR_BANKING,1,1,0.667,0.333,1.0,0.01
